"Country","Virus Name","Submitted"
"Myanmar","hCoV-19/Myanmar/DSMRC-061/2021","2022-01-21"
"Barbados","hCoV-19/Barbados/85771/2021","2022-01-21"
"Zimbabwe","hCoV-19/Zimbabwe/CERI-KRISP-K027221/2021","2022-01-18"
"American Samoa","hCoV-19/American Samoa/AS-CDC-2-5343436/2021","2022-01-13"
"Monaco","hCoV-19/France/MC-CERBAHC-1240226/2021","2021-12-27"
"Zambia","hCoV-19/Zambia/ZMB-121254/2021","2021-12-23"
"Gibraltar","hCoV-19/Gibraltar/EXP_26102021-1531384-62/2021","2021-12-22"
"Cuba","hCoV-19/Cuba/257/2021","2021-12-20"
"Sierra Leone","hCoV-19/Sierra Leone/CPHRL_SEQ_21_298/2021","2021-12-14"
"Palau","hCoV-19/Palau/PW-CDC-2-5064370/2021","2021-12-02"
"Saint Barthelemy","hCoV-19/Saint Barthelemy/IPP36167/2021","2021-11-30"
"Cayman Islands","hCoV-19/Cayman Islands/50035/2021","2021-11-21"
"Guinea-Bissau","hCoV-19/Guinea Bissau/JP023/2021","2021-11-03"
"Mali","hCoV-19/Mali/CICM1649/2021","2021-10-22"
"Burundi","hCoV-19/Burundi/UG905/2021","2021-10-07"
"Fiji","hCoV-19/Fiji/FJ525/2021","2021-10-04"
"Timor-Leste","hCoV-19/Timor-Leste/TL1026/2021","2021-10-04"
"Afghanistan","hCoV-19/Afghanistan/2870x0209_23909/2021","2021-09-29"
"Liberia","hCoV-19/Liberia/LIB-0226/2021","2021-09-16"
"United Arab Emirates","hCoV-19/United Arab Emirates/AZ-USAFSAM-S4352/2021","2021-09-04"
"Iceland","hCoV-19/Iceland/10372/2021","2021-09-03"
"Uzbekistan","hCoV-19/Uzbekistan/Tashkent-CGB-35/2021","2021-08-25"
"Azerbaijan","hCoV-19/Azerbaijan/Aghayev-07/2021","2021-07-14"
